,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff,invalid_catch,block_mod,pred,ign_pred,ign_mod,relevant_expected,irrelevant_expected,v_learned,a_learned,att_learned,ign_learned,change_r,change,response
98,S01,22,Hombre,izquierda,1,1,visual,47,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,1.5116429999998218,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
99,S01,22,Hombre,izquierda,1,1,visual,48,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4253424999997151,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
100,S01,22,Hombre,izquierda,1,1,visual,50,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.322588700000324,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
101,S01,22,Hombre,izquierda,1,1,visual,51,VP,90.0,135.0,EXP,1600.0,160.0,0.0,1.0,diferente,1.0212510999999722,1,22.0,0.0,1,VP,EXP,auditory,0,1,1,1,1,1,22.0,0.6875,1
102,S01,22,Hombre,izquierda,1,1,visual,52,VP,90.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.4831370000001698,1,22.0,0.0,1,VP,EXP,auditory,0,1,1,0,1,0,0.0,0.0,0
103,S01,22,Hombre,izquierda,1,1,visual,53,VP,0.0,45.0,VP,1000.0,160.0,0.0,0.0,normal,0.5931691999999202,1,22.0,0.0,1,VP,VP,auditory,0,0,1,0,1,0,0.0,0.0,0
104,S01,22,Hombre,izquierda,1,1,visual,54,EXP,90.0,45.0,VP,1000.0,160.0,0.0,1.0,diferente,0.4619459000000461,1,22.0,0.0,1,EXP,VP,auditory,1,0,1,0,1,0,22.0,0.6875,1
105,S01,22,Hombre,izquierda,1,1,visual,55,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.3597834000001967,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
106,S01,22,Hombre,izquierda,1,1,visual,56,VP,0.0,45.0,VP,1600.0,100.0,0.0,1.0,normal,0.4199607000000469,0,22.0,0.0,1,VP,VP,auditory,0,0,1,1,1,1,22.0,0.6875,0
107,S01,22,Hombre,izquierda,1,1,visual,57,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.492674199999783,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
108,S01,22,Hombre,izquierda,1,1,visual,58,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4042193000000225,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
109,S01,22,Hombre,izquierda,1,1,visual,59,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.3885849999996935,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
110,S01,22,Hombre,izquierda,1,1,visual,60,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.3988730999999461,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
