,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
10749,S42,18,Mujer,derecha,2,1,auditory,5,,,,VP,1000.0,100.0,,,raro,3.4690241999924183,1,
10750,S42,18,Mujer,derecha,2,1,auditory,6,,,,VP,1600.0,160.0,,,frecuente,1.7964459999930114,0,
10751,S42,18,Mujer,derecha,2,1,auditory,7,,,,VP,1000.0,100.0,,,raro,0.9347373999771662,1,
11632,S43,22,Hombre,derecha,2,0,auditory,0,,,,EXP,1000.0,160.0,,,raro,2.513011600000027,0,
11633,S43,22,Hombre,derecha,2,0,auditory,1,,,,EXP,1600.0,100.0,,,frecuente,0.5913873999998032,1,
11634,S43,22,Hombre,derecha,2,0,auditory,2,,,,VP,1600.0,160.0,,,frecuente,0.4558573000003889,0,
11635,S43,22,Hombre,derecha,2,0,auditory,3,,,,VP,1000.0,100.0,,,frecuente,0.4063940000005459,0,
11636,S43,22,Hombre,derecha,2,0,auditory,4,,,,VP,1600.0,160.0,,,frecuente,0.6259935999996742,0,
11637,S43,22,Hombre,derecha,2,0,auditory,5,,,,EXP,1600.0,100.0,,,frecuente,0.3232352000004539,1,
11638,S43,22,Hombre,derecha,2,0,auditory,6,,,,EXP,1000.0,160.0,,,frecuente,0.4515418999999383,1,
11639,S43,22,Hombre,derecha,2,0,auditory,7,,,,VP,1000.0,100.0,,,frecuente,0.2977640999997675,0,
11640,S43,22,Hombre,derecha,2,1,visual,0,VP,0.0,45.0,,,,,,frecuente,0.9936955000002854,0,
11641,S43,22,Hombre,derecha,2,1,visual,1,EXP,0.0,135.0,,,,,,frecuente,0.3087354999997842,1,
11642,S43,22,Hombre,derecha,2,1,visual,2,VP,0.0,45.0,,,,,,frecuente,0.3537393000005977,0,
11643,S43,22,Hombre,derecha,2,1,visual,3,EXP,90.0,45.0,,,,,,frecuente,0.2943356999994648,1,
11644,S43,22,Hombre,derecha,2,1,visual,4,VP,90.0,135.0,,,,,,frecuente,0.2930176999998366,0,
11645,S43,22,Hombre,derecha,2,1,visual,5,EXP,0.0,135.0,,,,,,frecuente,0.2373606999999538,1,
11646,S43,22,Hombre,derecha,2,1,visual,6,VP,90.0,135.0,,,,,,frecuente,0.4789456999997128,0,
11647,S43,22,Hombre,derecha,2,1,visual,7,EXP,90.0,45.0,,,,,,raro,0.2243828000000576,0,
12528,S44,19,Hombre,izquierda,2,0,visual,0,VP,90.0,135.0,,,,,,frecuente,4.160141000000294,0,
12529,S44,19,Hombre,izquierda,2,0,visual,1,EXP,0.0,135.0,,,,,,frecuente,1.364743800000724,1,
12530,S44,19,Hombre,izquierda,2,0,visual,2,VP,0.0,45.0,,,,,,raro,1.825594300000376,1,
12531,S44,19,Hombre,izquierda,2,0,visual,3,VP,90.0,135.0,,,,,,frecuente,1.3192046000003756,0,
12532,S44,19,Hombre,izquierda,2,0,visual,4,EXP,90.0,45.0,,,,,,raro,2.994023399998696,0,
12533,S44,19,Hombre,izquierda,2,0,visual,5,EXP,90.0,45.0,,,,,,frecuente,1.6157029999994847,1,
12534,S44,19,Hombre,izquierda,2,0,visual,6,EXP,0.0,135.0,,,,,,raro,1.4066176999986055,0,
12535,S44,19,Hombre,izquierda,2,0,visual,7,VP,0.0,45.0,,,,,,frecuente,1.822509000001446,0,
12536,S44,19,Hombre,izquierda,2,1,auditory,0,,,,EXP,1600.0,100.0,,,frecuente,0.9796190000015486,1,
12537,S44,19,Hombre,izquierda,2,1,auditory,1,,,,EXP,1000.0,160.0,,,raro,2.565202599998884,0,
12538,S44,19,Hombre,izquierda,2,1,auditory,2,,,,VP,1600.0,160.0,,,frecuente,0.7884838999998465,0,
12539,S44,19,Hombre,izquierda,2,1,auditory,3,,,,VP,1600.0,160.0,,,frecuente,0.7771140999975614,0,
12540,S44,19,Hombre,izquierda,2,1,auditory,4,,,,VP,1000.0,100.0,,,frecuente,0.5855550000014773,0,
12541,S44,19,Hombre,izquierda,2,1,auditory,5,,,,EXP,1000.0,160.0,,,frecuente,0.7868445999993128,1,
12542,S44,19,Hombre,izquierda,2,1,auditory,6,,,,EXP,1600.0,100.0,,,frecuente,0.5905320000019856,1,
12543,S44,19,Hombre,izquierda,2,1,auditory,7,,,,VP,1000.0,100.0,,,raro,0.4646002000008593,1,
13424,S45,19,Mujer,derecha,2,0,visual,0,EXP,90.0,135.0,,,,,,raro,2.7820942999678664,0,
